gl_account,gl_account_name,month,actual_usd,budget_usd,variance_usd,variance_pct
6100,Rent,2024-07,48217,40000,8217,20.5
6100,Rent,2024-08,48217,40000,8217,20.5
6100,Rent,2024-09,47566,40000,7566,18.9
6200,Salaries,2024-07,612430,632000,-19570,-3.1
6200,Salaries,2024-08,608912,632000,-23088,-3.7
6200,Salaries,2024-09,611658,632000,-20342,-3.2
6210,Benefits,2024-07,118400,124000,-5600,-4.5
6210,Benefits,2024-08,121307,124000,-2693,-2.2
6210,Benefits,2024-09,116193,124000,-7807,-6.3
6300,Travel,2024-07,71428,55000,16428,29.9
6300,Travel,2024-08,76015,55000,21015,38.2
6300,Travel,2024-09,69874,55000,14874,27.0
6400,Marketing,2024-07,378940,290000,88940,30.7
6400,Marketing,2024-08,372108,290000,82108,28.3
6400,Marketing,2024-09,389016,290000,99016,34.1
6500,Software & subscriptions,2024-07,52310,40000,12310,30.8
6500,Software & subscriptions,2024-08,51845,40000,11845,29.6
6500,Software & subscriptions,2024-09,49891,40000,9891,24.7
6600,Professional services,2024-07,28015,35000,-6985,-20.0
6600,Professional services,2024-08,31420,35000,-3580,-10.2
6600,Professional services,2024-09,26545,35000,-8455,-24.2
6700,Utilities,2024-07,8412,9000,-588,-6.5
6700,Utilities,2024-08,8915,9000,-85,-0.9
6700,Utilities,2024-09,7806,9000,-1194,-13.3
6710,Telecom,2024-07,4220,4500,-280,-6.2
6710,Telecom,2024-08,4317,4500,-183,-4.1
6710,Telecom,2024-09,4408,4500,-92,-2.0
6800,Insurance,2024-07,12500,12500,0,0.0
6800,Insurance,2024-08,12500,12500,0,0.0
6800,Insurance,2024-09,12500,12500,0,0.0
6810,Office supplies,2024-07,2208,2500,-292,-11.7
6810,Office supplies,2024-08,3104,2500,604,24.2
6810,Office supplies,2024-09,2871,2500,371,14.8
6820,Repairs & maintenance,2024-07,1845,3000,-1155,-38.5
6820,Repairs & maintenance,2024-08,2207,3000,-793,-26.4
6820,Repairs & maintenance,2024-09,4118,3000,1118,37.3
6900,Legal fees,2024-07,15400,12000,3400,28.3
6900,Legal fees,2024-08,9215,12000,-2785,-23.2
6900,Legal fees,2024-09,11108,12000,-892,-7.4
6910,Recruiting,2024-07,18420,22000,-3580,-16.3
6910,Recruiting,2024-08,16915,22000,-5085,-23.1
6910,Recruiting,2024-09,19206,22000,-2794,-12.7
6920,Training & development,2024-07,5118,7500,-2382,-31.8
6920,Training & development,2024-08,6420,7500,-1080,-14.4
6920,Training & development,2024-09,7115,7500,-385,-5.1
7000,Depreciation,2024-07,42500,42500,0,0.0
7000,Depreciation,2024-08,42500,42500,0,0.0
7000,Depreciation,2024-09,42500,42500,0,0.0
7100,Bank & merchant fees,2024-07,3815,3500,315,9.0
7100,Bank & merchant fees,2024-08,4128,3500,628,17.9
7100,Bank & merchant fees,2024-09,3902,3500,402,11.5
